rxn_id,enzyme_id,group,FCC_sub_27C,FCC_opt_37C,FCC_supra_44.65C
GLUTRRNo1,P0A6X1,default,0.0019473762255861615,2.7755575615628914e-14,0.0
GAPDNo1,P0A9B2,default,0.14017857227344166,5.551115123125783e-15,0.0
HSDy_REVNo1,P00562,default,0.0100145422784359,2.220446049250313e-14,0.0
ARGSSNo1,P0A6E4,default,0.04584682878426283,3.3306690738754696e-14,0.0
3OAS140No1,P0A953,default,0.07544108495455282,2.220446049250313e-14,0.0
GLNSNo1,P0A9C5,default,0.05940307944110601,5.551115123125783e-15,0.0
HEX1No1,P0A6V8,default,0.017885997099581497,2.7755575615628914e-14,0.0
HMBSNo1,P06983,default,0.0006446403412796453,5.551115123125783e-15,0.0
THRSNo1,P00934,default,0.041887046781996506,-1.1102230246251565e-14,0.0
ACGSNo1,P0A6C5,default,0.03635159201357263,0.0,0.0
ACONTbNo1,P36683,default,0.03087251806730973,1.1102230246251565e-14,0.0
ACONTaNo1,P36683,default,0.030289970118935194,1.6653345369377348e-14,0.0
ENONo1,P0A6P9,default,0.03273654451617647,2.7755575615628914e-14,0.0
EDANo1,P0A955,default,0.03233078021446234,-3.3306690738754696e-14,0.0
G1SATNo1,P23893,default,0.0003239342336258666,1.6653345369377348e-14,0.0
PAPSRNo1,P0AGG4,default,0.02645600937319359,-5.551115123125783e-15,0.0
PRFGSNo1,P15254,default,0.0200276472804628,-1.6653345369377348e-14,0.0
GHMT2r_REVNo1,P0A825,default,0.018264352393043692,4.9960036108132044e-14,0.0
GLUTRSNo1,P04805,default,0.00022389892291863056,3.885780586188048e-14,0.0
ACACT2rNo2,P21151,default,0.016144353493008357,2.220446049250313e-14,0.0
ACACT3rNo2,P21151,default,0.016144353493008357,5.551115123125783e-15,0.0
ACACT4rNo2,P21151,default,0.01614435349312493,2.220446049250313e-14,0.0
ACACT5rNo1,P21151,default,0.01614435349311938,2.220446049250313e-14,0.0
AGPR_REVNo1,P11446,default,0.015982350978238635,-5.551115123125783e-15,0.0
PFLNo2,P0A9N4,default,0.01554734407185343,1.1102230246251565e-14,0.0
R15BPKNo1,P16690,default,0.014901873025396917,3.3306690738754696e-14,0.0
GMPSNo1,P04079,default,0.014820810318066924,-1.1102230246251565e-14,0.0
TRDRNo2,P0AGG4,default,0.013635032758230192,0.0,0.0
ACACT7rNo2,P21151,default,0.012613916582410178,-1.1102230246251565e-14,0.0
ACACT6rNo2,P21151,default,0.012613916582454587,-1.1102230246251565e-14,0.0
IMPDNo1,P0ADG7,default,0.012545828343013543,0.0,0.0
PRAISNo1,P08178,default,0.011081665097928406,1.6653345369377348e-14,0.0
METSNo1,P13009,default,0.004320813744351781,2.220446049250313e-14,0.0
HBZOPTNo1,P0AGK1,default,0.010723048447036643,3.3306690738754696e-14,0.0
UPPDC1No1,P29680,default,6.601792817972907e-05,0.0,0.0
ADSSNo1,P0A7D4,default,0.010261098929553736,0.0,0.0
IG3PSNo1,P60595,default,2.854700636989449e-05,-1.6653345369377348e-14,0.0
DHORTS_REVNo1,P05020,default,0.008792945423374832,-1.1102230246251565e-14,0.0
GTPCINo1,P0A6T5,default,0.00875233100333661,1.6653345369377348e-14,0.0
HISTDNo1,P06988,default,0.007843460492246157,0.0,0.0
HSKNo1,P00547,default,0.007471610447407073,0.0,0.0
3OAR140No1,P0AEK2,default,0.006779858004879458,1.1102230246251565e-14,0.0
EDDNo1,P0ADF6,default,0.006696131287892149,-1.6653345369377348e-14,0.0
PPPGONo1,P0ACB4,default,2.4839438861334884e-05,2.220446049250313e-14,0.0
IMPC_REVNo1,P15639,default,0.006044574247476842,-1.1102230246251565e-14,0.0
AICARTNo1,P15639,default,0.006044574247515699,2.220446049250313e-14,0.0
PPBNGSNo1,P0ACB2,default,6.976294992244725e-05,1.1102230246251565e-14,0.0
METATNo1,P0A817,default,7.625352482221182e-05,2.7755575615628914e-14,0.0
ORPT_REVNo1,P0A7E3,default,0.005127068399746193,2.220446049250313e-14,0.0
ASPKNo3,P08660,default,0.005098247187657057,1.1102230246251565e-14,0.0
ASNS2No1,P00963,default,0.004782716530676856,1.6653345369377348e-14,0.0
AIRC2No1,P09029,default,0.0045762716702812956,3.3306690738754696e-14,0.0
AACPS4No1,P0A6A8,default,0.004573064689933348,3.885780586188048e-14,0.0
DDPANo2,P0AB91,default,0.0001480419165145186,3.885780586188048e-14,0.0
PGK_REVNo1,P0A799,default,0.00400674345252261,1.1102230246251565e-14,0.0
AACPS3No1,P0A6A8,default,0.0038799376553488862,2.220446049250313e-14,0.0
ACKrNo1,P0A6A3,default,0.00014374747632217577,-1.1102230246251565e-14,0.0
VPAMTr_REVNo1,P09053,default,0.003297106750965728,1.6653345369377348e-14,0.0
PGLNo1,P52697,default,0.003261314130564852,0.0,0.0
KARA1_REVNo1,P05793,default,0.003158610463799283,1.6653345369377348e-14,0.0
IPPSNo1,P09151,default,0.0030665085227199462,-1.1102230246251565e-14,0.0
G6PDH2rNo1,P0AC53,default,0.002988397493836059,2.220446049250313e-14,0.0
PYKNo1,P21599,default,0.0029852162493682055,-1.1102230246251565e-14,0.0
ACLSNo2,P08142,default,0.0028787833216192826,3.885780586188048e-14,0.0
UAMASNo1,P17952,default,0.002855581631411308,1.1102230246251565e-14,0.0
NADH16ppNo1,P0AFC3,default,0.001368255876788016,2.7755575615628914e-14,0.0
PRAGSrNo1,P15640,default,0.0024621589318263304,-1.1102230246251565e-14,0.0
AACPS7No1,P0A6A8,default,0.0023658793571135206,-5.551115123125783e-15,0.0
PGM_REVNo1,P62707,default,0.0020198544920357886,5.551115123125783e-15,0.0
G3PD2_REVNo1,P0A6S7,default,0.00025896220774423995,0.0,0.0
UAAGDSNo1,P22188,default,0.001935753941728624,1.1102230246251565e-14,0.0
DAPDCNo1,P00861,default,0.001827557172373595,0.0,0.0
ATPPRTNo1,P60757,default,0.0017306810128236982,3.885780586188048e-14,0.0
POXNo1,P07003,default,0.0016331598669983016,2.7755575615628914e-14,0.0
DHDPRyNo1,P04036,default,0.0015549702691741718,-2.7755575615628914e-14,0.0
CSNo1,P0ABH7,default,0.001521187370107091,0.0,0.0
BPNTNo1,P22255,default,0.0014647248390453615,1.1102230246251565e-14,0.0
MCTP1AppNo1,P02918,default,0.00139456165189622,1.1102230246251565e-14,0.0
AIRC3_REVNo1,P0AG18,default,0.0013880578105640584,0.0,0.0
ACOAD2f_REVNo1,Q47146,default,0.001291953810722557,1.1102230246251565e-14,0.0
ACOAD5f_REVNo1,Q47146,default,0.001291953810722557,1.1102230246251565e-14,0.0
ACOAD3f_REVNo1,Q47146,default,0.0012919538106670458,1.1102230246251565e-14,0.0
ACOAD4f_REVNo1,Q47146,default,0.0012919538106836992,1.1102230246251565e-14,0.0
PPCNo1,P00864,default,0.0012410215443847683,1.1102230246251565e-14,0.0
ANPRTNo1,P00904,default,0.0011681805059782224,-1.1102230246251565e-14,0.0
CTPS2No1,P0A7E5,default,0.0011676690778172905,1.6653345369377348e-14,0.0
PGAMT_REVNo1,P31120,default,0.0011642791855503987,3.3306690738754696e-14,0.0
MTHFC_REVNo1,P24186,default,0.001120130399989705,-5.551115123125783e-15,0.0
MTHFD_REVNo1,P24186,default,0.001120130399889785,-5.551115123125783e-15,0.0
DHAD1No1,P05791,default,0.0011081470352669598,1.1102230246251565e-14,0.0
UAMAGSNo1,P14900,default,0.0010740625509930712,5.551115123125783e-15,0.0
KARA2No1,P05793,default,0.0010495316944358901,-1.1102230246251565e-14,0.0
ACOAD6f_REVNo1,Q47146,default,0.0010094288787509953,-2.220446049250313e-14,0.0
ICDHyrNo1,P08200,default,0.0010084416097844162,5.551115123125783e-15,0.0
5DOANNo1,P0AF12,default,5.712202771901431e-06,4.440892098500626e-14,0.0
ASAD_REVNo1,P0A9Q9,default,0.0009604156842313305,4.9960036108132044e-14,0.0
PRASCSiNo1,P0A7D7,default,0.0002596862544612666,-2.220446049250313e-14,0.0
FADRx2No1,P17846,default,0.0004690866547585326,2.220446049250313e-14,0.0
NNDPRNo1,P30011,default,0.0009338392561064612,5.551115123125783e-15,0.0
ADSL2rNo1,P0AB89,default,0.0005494433160280199,1.6653345369377348e-14,0.0
